,reaction_id,description,EC_number,reaction_elemental_balance,new_reaction_enter_db,reaction_equation,reaction,reaction_formula,old_database_dG0prime (kcal/mol),old_database_reaction_type,old_database_elemental_balance,Jankowski_drG0_prime(kcal/mol)_pH7_I0_1M,Jankowski_SE(dGr)(kcal/mol),Jankowski_Reason,pH_7.0_dG0_prime (kJ/mol),pH_7.0_dG0_prime (kcal/mol),pH_7.0_dG0_std (kJ/mol),pH_7.0_dG0_std (kcal/mol),pH_7.0_sqrt_Sigma (kJ/mol),dG_cannot_estimate_by_component_contribution,pH_7.0_dG_prime_lo (kJ/mol),pH_7.0_dG_prime_up (kJ/mol),rxntype_curated,rxntype_from_dG,reaction_type,lower_bound (mmol/gDW h),upper_bound (mmol/gDW h),specific_activity,reversed_specific_activity
0,FACOAE120,,,All balanced,0,Lauroyl-CoA + H2O <=> CoA + Dodecanoic acid,1 C01832 + 1 C00001 <=> 1 C00010 +  1 C02679,H2O + C33H58N7O17P3S <=> C21H36N7O16P3S + C12H24O2,1000000.0,0.0,COPNS balanced. H (1.0),,,,-24.99186381,-5.97320540177286,1.449380293536,0.346410204,1.449378695,0,-87.77647479,-2.161096175,,0,0,0,1000,,
1,R00004,diphosphate phosphohydrolase; pyrophosphate phosphohydrolase,3.6.1.1,All balanced,1,Diphosphate + H2O <=> 2 Orthophosphate,C00013 + C00001 <=> 2 C00009,H4P2O7 + H2O <=> 2 H3PO4,-20.8,0.0,All balanced,-5.391,1.22474,0,-15.78091113,-3.77173244553678,0.192787690976,0.046077364,0.19278748,0,-78.56552211,7.049856503,,1,1,-1000,1000,3.468154515402166,0.005798805609697563
2,R00005,urea-1-carboxylate amidohydrolase,3.5.1.54,All balanced,1,Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia,C01010 + C00001 <=> 2 C00011 + 2 C00014,C2H4N2O3 + H2O <=> 2 CO2 + 2 NH3,74.4,1.0,All balanced,-9.623,1.77593,0,-78.52675594,-18.7683658301956,7.7247661702,1.846263425,7.724757641,0,-209.8036698,-67.11137213,,0,0,0,1000,19.62372106256069,8.481970617773404e-08
3,R00006,pyruvate:pyruvate acetaldehydetransferase (decarboxylating); 2-acetolactate pyruvate-lyase (carboxylating),2.2.1.6,All balanced,1,2-Acetolactate + CO2 <=> 2 Pyruvate,C00900 + C00011 <=> 2 C00022,C5H8O4 + CO2 <=> 2 C3H4O3,30.0,1.0,All balanced,10.53,0.730313,0,32.25349255,7.7087782404053,3.772827642432,0.901727448,3.772823476,0,-24.82342653,89.33041163,,1,1,-1000,1000,3.133536359342886,82922820.72583303
4,R00008,4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming),4.1.3.17,All balanced,1,Parapyruvate <=> 2 Pyruvate,C06033 <=> 2 C00022,C6H8O6 <=> 2 C3H4O3,12.2,3.0,All balanced,3.17,0.436072,0,16.28897651,3.89316311974906,2.369565438688,0.566339732,2.369562821,0,-46.49563448,39.11974414,,1,1,-1000,1000,109.1453378710184,27245.16376962892
5,R00009,hydrogen-peroxide:hydrogen-peroxide oxidoreductase,1.11.1.6;1.11.1.21,All balanced,1,2 Hydrogen peroxide <=> Oxygen + 2 H2O,2 C00027 <=> C00007 + 2 C00001,2 H2O2 <=> O2 + 2 H2O,-189.9,0.0,COPNS balanced. H (-2.0),-45.3543,1.5,0,-193.0677819,-46.1443582807914,6.806876643592,1.626882563,6.806869129,0,-215.8985495,-130.2831709,,0,0,0,1000,193.6852490780292,8.260965429360018e-32
6,R00010,"alpha,alpha-trehalose glucohydrolase",3.2.1.28,All balanced,1,"alpha,alpha-Trehalose + H2O <=> 2 D-Glucose",C01083 + C00001 <=> 2 C00031,C12H22O11 + H2O <=> 2 C6H12O6,-14.0,0.0,All balanced,-3.113,0.692797,0,-11.65938122,-2.78666206786732,1.087749056576,0.259978264,1.087747857,0,-74.44399221,11.17138641,,1,1,-1000,1000,23.4890992039491,0.173795078327715
7,R00011,Mn(II):hydrogen-peroxide oxidoreductase,1.11.1.13,All balanced,1,2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O,2 C19610 + C00027 + 2 C00080 <=> 2 C19611 + 2 C00001,2 Mn + H2O2 + 2 H <=> 2 Mn + 2 H2O,1000000.0,1.0,All balanced,Not calculated,Not calculated,Charge imbalanced,74.27180588,17.7514072361553,0.0,0.0,0.0,1,0.0,0.0,,1,1,-1000,1000,20.48900410084575,
8,R00012,GTP:GTP guanylyltransferase,2.7.7.45,All balanced,1,"2 GTP <=> Diphosphate + P1,P4-Bis(5'-guanosyl) tetraphosphate",2 C00044 <=> C00013 + C01261,2 C10H16N5O14P3 <=> H4P2O7 + C20H28N10O21P4,8.6,1.0,All balanced,1.07,0.746895,0,14.98950304,3.58258116357824,7.65733458776,1.83014689,7.657326136,0,-42.08741604,72.06642212,,1,1,-1000,1000,0.01841195263952197,0.1121640662649395
9,R00013,glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming),4.1.1.47,All balanced,1,2 Glyoxylate <=> 2-Hydroxy-3-oxopropanoate + CO2,2 C00048 <=> C01146 + C00011,2 C2H2O3 <=> C3H4O4 + CO2,-28.2,0.0,All balanced,-10.57,0.680043,0,-19.63543364,-4.69298645256184,4.485342152552,1.072022503,4.485337199,0,-76.71235272,37.44148544,0.0,1,0,0,1000,1.694114179028416,7.678800371478152e-08
